stock,market_weight,prior_return,posterior_return,bl_weight,active_weight
INFY,0.06428571428571428,0.016208822686528866,0.0340614489879328,0.2,0.13571428571428573
TCS,0.14795918367346939,0.018137026309516326,0.03536121835299379,0.2,0.052040816326530626
WIPRO,0.030612244897959183,0.017603111676258863,0.03547708712026207,0.2,0.16938775510204082
RELIANCE,0.20408163265306123,0.021956862141499604,0.018126586896381493,0.09439,-0.10969163265306123
SUNPHARMA,0.04183673469387755,0.00927434655214798,0.010262690271796012,0.09122,0.04938326530612244
HDFCBANK,0.1377551020408163,0.015624016811907164,0.011183694656179455,0.06019,-0.07756510204081632
MARUTI,0.03979591836734694,0.012541974410638139,0.010250321124367716,0.04634,0.006544081632653062
HINDUNILVR,0.058163265306122446,0.009561886563438923,0.008053782664208238,0.0421,-0.016063265306122447
BAJFINANCE,0.04591836734693878,0.019469341937176466,0.016635801237348098,0.02807,-0.017848367346938777
DRREDDY,0.011224489795918367,0.010535420090449886,0.014235612056019373,0.02584,0.014615510204081632
ICICIBANK,0.09081632653061225,0.013831581739548213,0.009137957427577836,0.01185,-0.07896632653061225
AXISBANK,0.036734693877551024,0.018834791729895505,0.009935723436806739,0.0,-0.036734693877551024
ITC,0.05510204081632653,0.011361461797391979,0.006672208009470089,0.0,-0.05510204081632653
ONGC,0.03571428571428571,0.015586851996622762,0.008810182901742104,0.0,-0.03571428571428571
