,omega,alpha,gamma,beta,ar1,persistence,half_life,nu,model
RELIANCE,0.06208702755366338,0.05422983544475184,0.0,0.9283373398894164,0.0,0.9825671753341682,39.41344723132523,4.624104172254346,"GARCH(1,1)"
HDFCBANK,0.09891171118949761,0.06333001979874614,0.0,0.9243463357205813,0.0,0.9876763555193275,55.898018233500174,3.483049360383221,"GARCH(1,1)"
ICICIBANK,0.04732524368804495,0.11886698863133542,0.0,0.9577508420681483,0.0,0.9577508420681483,16.057110440399004,3.8938426274765616,"ARMA(5,0)-EGARCH(1,1)"
INFY,0.06780510478833923,0.08556817443007415,0.0,0.8859758768841512,0.0,0.9715440513142254,24.01036274031324,4.813443766684399,"GARCH(1,1)"
TCS,0.09452872028872088,0.06539543772685039,0.0,0.8853584282160861,0.0,0.9507538659429365,13.725668811085784,4.344811646847537,"ARMA(0,0)-GARCH(2,1)"
AXISBANK,0.02903775225733699,0.021974353316797847,0.09229035825051655,0.9272379837091238,0.0,0.99535751615118,148.95840092407713,5.069941509996723,"ARMA(5,0)-GARCH(2,1)"
BAJFINANCE,0.2564829855542995,0.060264733619917285,0.0,0.8525096863024993,0.0,0.9127744199224166,7.5947598057440935,3.9880568802249736,"GARCH(1,1)"
DRREDDY,0.03372709519112868,0.039038273765220864,0.0,0.9443347258488934,0.0,0.9833729996141143,41.34050534828624,4.40497452797494,"GARCH(1,1)"
HINDUNILVR,0.07371109811259238,0.06439127493827876,0.0,0.9144758338687635,0.0,0.9788671088070423,32.45164135221174,3.9790091232224007,"GARCH(1,1)"
ITC,0.07512418735094191,0.0818645231587863,0.0,0.9064583426529179,0.0,0.9883228658117043,59.01210524768773,4.582226145330873,"GARCH(1,1)"
MARUTI,0.0705447531450995,0.05588958386659776,0.0,0.9195159022735224,0.0,0.9754054861401202,27.834987883548663,4.832636888927287,"GARCH(1,1)"
ONGC,0.0323878551445097,0.012101277196630721,0.059109029171331075,0.9472320016793524,0.0,0.9888877934616486,62.02987754095262,4.938564490780516,"GJR-GARCH(1,1)"
SUNPHARMA,0.07574707738982651,0.03691595163589316,0.0,0.9298432021128983,0.0,0.9667591537487914,20.50374613438797,4.480089682103349,"GARCH(1,1)"
WIPRO,0.18555021782045553,0.06530287667051402,0.0,0.8805600761925765,0.0,0.9458629528630905,12.453776272538112,3.774143168204728,"GARCH(1,1)"
